year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,Everything You Want,65,Everything You Want,Vertical Horizon,['neo mellow'; 'pop rock'; 'post-grunge'],49,0.636,0.761,3.0,80.0,0.0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067.0
2000,Fill Me In,63,Born to Do It,Craig David,['british soul'],62,0.682,0.744,8.0,84.0,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,257200.0
2000,Fool Again,65,Westlife,Westlife,['boy band'],67,0.533,0.512,4.0,83.0,1.0,0.0288,0.0475,0.0,0.0442,0.553,75.984,234867.0
2000,Forgot About Dre,82,2001,"Dr, Dre",['g funk'; 'gangster rap'; 'hip hop'; 'rap'; 'west coast rap'],78,0.924,0.74,8.0,11.0,1.0,0.0774,0.0827,0.0,0.163,0.621,133.974,222293.0
2000,Freestyler,58,Freestyler,Bomfunk MC's,['eurodance'],49,0.822,0.922,11.0,76.0,0.0,0.0989,0.0291,0.325,0.252,0.568,163.826,306333.0
2000,Get It On Tonite,57,Best Of Montell Jordan,Montell Jordan,['contemporary r&b'; 'new jack swing'; 'r&b'; 'urban contemporary'],56,0.807,0.498,10.0,99.0,0.0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,277413.0
2000,Gotta Tell You,59,Gotta Tell You,Samantha Mumba,['bubblegum dance'; 'europop'; 'talent show'],42,0.739,0.75,0.0,65.0,0.0,0.0278,0.205,0.0,0.157,0.758,109.983,200160.0
2000,He Can't Love U,55,"J,E, Heartbreak",Jagged Edge,['atl hip hop'; 'contemporary r&b'; 'r&b'; 'urban contemporary'],60,0.721,0.836,8.0,59.0,0.0,0.206,0.112,0.0,0.235,0.508,126.279,244053.0
2000,He Wasn't Man Enough,70,The Heat,Toni Braxton,['contemporary r&b'; 'dance pop'; 'r&b'; 'urban contemporary'],61,0.739,0.947,11.0,28.0,0.0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,261933.0
2000,Hemorrhage (In My Hands),64,Something Like Human,Fuel,['alternative metal'; 'nu metal'; 'post-grunge'],54,0.301,0.823,1.0,60.0,1.0,0.0433,0.000144,0.000309,0.0833,0.372,152.017,236867.0
2000,Hey Baby (Radio Mix),60,Hey Baby (Uh Ah),DJ Ã–tzi,['classic schlager'; 'oktoberfest'; 'schlager'],55,0.666,0.968,10.0,50.0,1.0,0.046,0.123,0.0,0.347,0.834,135.099,219240.0
2000,I Hope You Dance,67,I Hope You Dance,Lee Ann Womack,['contemporary country'; 'country'; 'country dawn'; 'country road'],57,0.385,0.443,7.0,98.0,0.0,0.0295,0.0632,0.0,0.0898,0.275,151.278,294533.0
2000,I Just Wanna Love U (Give It 2 Me),63,The Dynasty: Roc La Familia,JAY-Z,['east coast hip hop'; 'gangster rap'; 'hip hop'; 'pop rap'; 'rap'],82,0.8,0.922,4.0,70.0,0.0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,227867.0
2000,I Need You,62,I Need You,LeAnn Rimes,['contemporary country'; 'country'; 'country dawn'; 'country road'],59,0.478,0.736,7.0,85.0,1.0,0.0367,0.02,9.58e-05,0.118,0.564,144.705,229827.0
2000,I Turn to You,63,Christina Aguilera (Expanded Edition),Christina Aguilera,['dance pop'; 'pop'],75,0.599,0.47,1.0,92.0,1.0,0.0376,0.38,0.0,0.111,0.298,127.177,273707.0
2000,I Turn To You,55,Northern Star,Melanie C,['dance pop'; 'europop'; 'talent show'],53,0.522,0.803,1.0,76.0,1.0,0.0327,0.00117,0.00167,0.31,0.0783,135.205,352173.0
2000,I Wanna Know,69,My Name Is Joe,Joe,['contemporary r&b'; 'r&b'; 'urban contemporary'],62,0.725,0.487,8.0,77.0,0.0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693.0
2000,I Wish,58,Emotional,Carl Thomas,['contemporary r&b'; 'r&b'; 'urban contemporary'],47,0.736,0.666,1.0,69.0,1.0,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,226760.0
2000,I'm Outta Love - Radio Edit,55,Pieces of A Dream,Anastacia,[],58,0.761,0.716,10.0,76.0,0.0,0.056,0.396,0.0,0.0771,0.649,119.41,245400.0
2000,In the End,88,Hybrid Theory (Bonus Edition),Linkin Park,['alternative metal'; 'nu metal'; 'post-grunge'; 'rap metal'; 'rock'],83,0.556,0.864,3.0,76.0,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0
2000,"Independent Women; Pt, 1",68,Survivor,Destiny's Child,['dance pop'; 'girl group'; 'pop'; 'r&b'; 'urban contemporary'],69,0.73,0.602,6.0,57.0,0.0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133.0
2000,It Feels So Good,67,Hear My Cry,Sonique,[],49,0.634,0.677,5.0,86.0,0.0,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867.0
2000,It's Gonna Be Me,71,No Strings Attached,*NSYNC,['boy band'; 'dance pop'; 'pop'],65,0.636,0.873,0.0,66.0,0.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,192427.0
2000,Jumpin'; Jumpin',73,The Writing's On The Wall,Destiny's Child,['dance pop'; 'girl group'; 'pop'; 'r&b'; 'urban contemporary'],69,0.771,0.685,1.0,66.0,1.0,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200.0
2000,Kryptonite,82,The Better Life,3 Doors Down,['alternative metal'; 'nu metal'; 'post-grunge'; 'rock'],69,0.545,0.865,11.0,75.0,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933.0
