year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
2000,7 Days,73,Born to Do It,Craig David,['british soul'],62,0.6113161131611317,0.802555168408827,0.36363636363636365,0.7606382978723404,0.0,0.04733514001806685,0.23516373579978714,0.09014598540145985,0.9081490975114814,0.152448322040865,0.5635557757956173
2000,Absolutely (Story of a Girl) - Radio Mix,69,The Madding Crowd,Nine Days,['pop rock'],49,0.3923739237392374,0.9377045718509133,0.6363636363636364,0.675531914893617,1.0,0.07859078590785909,0.0008978646037355706,0.08868613138686132,0.6646374025419204,0.24180909319932642,0.3113809051866534
2000,Against All Odds (Take A Look at Me Now) - Mariah Only,61,Against All Odds (Take A Look at Me Now) EP,Mariah Carey,['dance pop'; 'pop'; 'urban contemporary'],76,0.4674046740467406,0.47101678808995884,0.09090909090909091,0.7234042553191489,1.0,0.013369467028003616,0.5010159131955829,0.09732360097323603,0.1925664851009292,0.3828213049761997,0.38075652461182696
2000,All The Small Things,84,Enema Of The State,blink-182,['alternative metal'; 'modern rock'; 'pop punk'; 'punk'; 'rock'; 'socal pop punk'],75,0.33456334563345635,0.8923028191320874,0.0,0.6648936170212766,1.0,0.04751580849141826,0.010518645900339584,0.718978102189781,0.6902702125387162,0.5880945119929991,0.18878427485959692
2000,Amazed,72,Lonely Grill,Lonestar,['contemporary country'; 'country'; 'country road'],57,0.4907749077490776,0.5185302502375674,0.09090909090909091,0.7872340425531914,1.0,0.017886178861788622,0.2658389870377636,0.12530413625304138,0.2192673288475916,0.5289383311897533,0.5951271886356129
2000,Back Here,52,Sooner Or Later,BBMAK,['boy band'],35,0.5682656826568266,0.9429838454228697,0.6363636363636364,0.5585106382978724,1.0,0.02131887985546522,0.07135789418899287,0.07992700729927008,0.9359179750080103,0.2966825335790716,0.4703226516903425
2000,Be Like That,63,The Better Life,3 Doors Down,['alternative metal'; 'nu metal'; 'post-grunge'; 'rock'],69,0.3997539975399754,0.6864111498257839,0.6363636363636364,0.7127659574468085,1.0,0.0023486901535682073,0.005385653859851525,0.13138686131386862,0.2865534550891808,0.23842135270952947,0.7329974672392909
2000,Be With You,60,Enrique,Enrique Iglesias,['dance pop'; 'latin pop'; 'mexican pop'],75,0.6408364083640837,0.8595713229859571,0.09090909090909091,0.6861702127659575,0.0,0.018789521228545623,0.04037589043863666,0.033211678832116794,0.5386094200576739,0.4108845251196648,0.4767096134786917
2000,Beautiful Day,68,All That You Can't Leave Behind,U2,['irish rock'; 'permanent wave'; 'rock'],75,0.4637146371463715,0.9229226058494352,0.18181818181818182,0.7287234042553191,1.0,0.04950316169828366,0.01430192688635668,0.4124087591240876,0.4446224500694222,0.5055755181055173,0.6255918951657307
2000,Bent,59,Mad Season,Matchbox Twenty,['neo mellow'; 'pop rock'; 'post-grunge'],67,0.4378843788437885,0.8215605532678703,0.5454545454545454,0.7393617021276595,0.0,0.029087624209575433,0.04129614797577595,0.43065693430656937,0.5225889138096764,0.23501372333231685,0.6791818081709062
2000,Better Off Alone,79,Who Needs Guitars Anyway?,Alice Deejay,['bouncy house'; 'eurodance'],58,0.6260762607626077,0.8764649984162179,0.7272727272727273,0.7127659574468085,0.0,0.05907859078590787,0.0018375497999922493,0.3211678832116788,0.8002776887749653,0.5100571474031744,0.4520592445765885
2000,Big Pimpin',74,"Vol, 3,,, Life And Times Of S, Carter",JAY-Z,['east coast hip hop'; 'gangster rap'; 'hip hop'; 'pop rap'; 'rap'],82,0.8831488314883149,0.8046668778376095,1.0,0.7180851063829787,0.0,0.21228545618789524,0.1717682165746358,0.04549878345498783,0.9658229200042722,0.5175353690714541,0.827480453694527
2000,Born to Make You Happy,63,",,,Baby One More Time (Digital Deluxe Version)",Britney Spears,['dance pop'; 'pop'],78,0.5793357933579336,0.9186991869918699,1.0,0.6595744680851063,0.0,0.04137308039747066,0.1185977810954766,0.060827250608272494,0.6924062800384493,0.1597143955767114,0.6098061887457329
2000,Breathe,69,Breathe,Faith Hill,['contemporary country'; 'country'; 'country dawn'; 'country road'],61,0.45141451414514155,0.46890507866117626,0.6363636363636364,0.8031914893617021,1.0,0.011743450767841022,0.17688075844763185,0.2798053527980535,0.25664851009291895,0.5094207030058739,0.6484252835590794
2000,Breathless,72,In Blue,The Corrs,['celtic rock'; 'europop'; 'pop rock'],59,0.5473554735547356,0.8110020061239572,1.0,0.7659574468085106,1.0,0.06720867208672088,0.0553045127077852,0.30170316301703165,0.7799850475275019,0.4439796337792864,0.41144697720515366
2000,Bye Bye Bye,74,No Strings Attached,*NSYNC,['boy band'; 'dance pop'; 'pop'],65,0.5510455104551045,0.9229226058494352,0.7272727272727273,0.6595744680851063,0.0,0.04588979223125565,0.031684569254543334,0.07433090024330902,0.879312186265086,0.7466222039539109,0.3723158242484308
2000,Can't Fight The Moonlight,71,I Need You,LeAnn Rimes,['contemporary country'; 'country'; 'country dawn'; 'country road'],59,0.5731857318573186,0.8257839721254355,0.5454545454545454,0.7234042553191489,0.0,0.049141824751580854,0.41205768460545134,0.0364963503649635,0.6283242550464595,0.2509049443774115,0.45549498953859713
2000,Case Of The Ex (Whatcha Gonna Do),58,Fear Of Flying,MÃ½a,['contemporary r&b'; 'hip pop'; 'r&b'; 'urban contemporary'],60,0.7527675276752768,0.6674057649667406,0.09090909090909091,0.6542553191489362,0.0,0.03306233062330624,0.07023313497693373,0.06751824817518248,0.3378190750827726,0.25180657394025385,0.5728829424072239
